iter	Passed	Remaining
0	4	484
1	8	438
2	12	411
3	15	375
4	20	383
5	24	382
6	28	372
7	31	360
8	35	359
9	37	338
10	39	319
11	41	301
12	42	286
13	44	271
14	45	258
15	46	246
16	48	238
17	50	229
18	51	219
19	52	210
20	53	202
21	54	194
22	55	187
23	56	179
24	57	173
25	58	167
26	59	161
27	60	155
28	61	150
29	62	145
30	65	145
31	66	141
32	67	137
33	68	133
34	69	129
35	70	125
36	71	121
37	72	117
38	73	114
39	73	110
40	74	107
41	75	103
42	75	100
43	76	97
44	77	94
45	78	92
46	80	90
47	80	87
48	81	85
49	82	82
50	83	79
51	84	77
52	84	75
53	85	72
54	86	70
55	86	68
56	87	66
57	88	64
58	89	62
59	90	60
60	90	58
61	91	56
62	92	54
63	95	53
64	96	51
65	97	49
66	97	48
67	98	46
68	99	44
69	100	42
70	100	41
71	101	39
72	102	37
73	103	36
74	104	34
75	104	33
76	105	31
77	106	29
78	107	28
79	107	26
80	109	25
81	110	24
82	110	22
83	111	21
84	112	19
85	113	18
86	114	17
87	115	15
88	116	14
89	116	12
90	117	11
91	118	10
92	119	8
93	120	7
94	121	6
95	122	5
96	124	3
97	124	2
98	125	1
99	126	0
